"id","first_name","last_name","position","height_feet","height_inches","weight_pounds","team_id","updated_at","created_at","public_id"
1629152,"DeVaughn","Akoon-Purcell","G-F",NULL,NULL,NULL,1610612743,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",5
1628387,"Ike","Anigbogu","C",NULL,NULL,NULL,1610612754,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",14
2546,"Carmelo","Anthony","F",NULL,NULL,NULL,1610612745,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",17
1627758,"Ron","Baker","G",NULL,NULL,NULL,1610612752,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",25
1628444,"Jabari","Bird","G",NULL,NULL,NULL,1610612738,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",47
202705,"MarShon","Brooks","G",NULL,NULL,NULL,1610612763,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",67
203485,"Lorenzo","Brown","G",NULL,NULL,NULL,1610612761,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",71
201956,"Omri","Casspi","F",NULL,NULL,NULL,1610612763,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",90
203518,"Alex","Abrines","G",6,6,200,1610612760,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",1
1629093,"Tyler","Davis","C",NULL,NULL,NULL,1610612760,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",119
1629037,"Keenan","Evans","G",NULL,NULL,NULL,1610612765,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",149
101162,"Marcin","Gortat","C",NULL,NULL,NULL,1610612746,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",179
101106,"Andrew","Bogut","F",NULL,NULL,NULL,1610612744,"2019-01-12 23:18:05.73641-08","2019-01-12 23:18:05.73641-08",1593
203501,"Tim","Hardaway Jr.","G",6,6,205,1610612742,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",191
1627772,"Daniel","Hamilton","G-F",NULL,NULL,NULL,1610612737,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",190
1626150,"Andrew","Harrison","G",NULL,NULL,NULL,1610612739,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",198
1627743,"Demetrius","Jackson","G",NULL,NULL,NULL,1610612755,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",232
101161,"Amir","Johnson","C-F",6,9,240,1610612755,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",241
1629168,"BJ","Johnson","F",NULL,NULL,NULL,1610612758,"2019-04-24 17:43:09.222042-07","2019-04-24 17:43:09.222042-07",50815
201949,"James","Johnson","F",6,8,240,1610612748,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",242
1626169,"Stanley","Johnson","F",6,7,245,1610612740,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",243
202709,"Cory","Joseph","G",6,3,193,1610612754,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",251
1626163,"Frank","Kaminsky","F-C",7,0,242,1610612766,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",252
202683,"Enes","Kanter","C",NULL,NULL,NULL,1610612757,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",253
1628379,"Luke","Kennard","G",6,5,206,1610612765,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",254
203077,"Michael","Kidd-Gilchrist","F",6,7,232,1610612766,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",255
1628994,"George","King","F",6,6,220,1610612756,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",256
1628467,"Maxi","Kleber","F",6,11,240,1610612742,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",257
202688,"Brandon","Knight","G",6,3,195,1610612739,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",258
1628995,"Kevin","Knox","F",6,9,215,1610612752,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",259
1627788,"Furkan","Korkmaz","G-F",6,7,190,1610612755,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",260
1628436,"Luke","Kornet","F-C",7,1,250,1610612752,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",261
1629155,"Zach","Lofton","G",NULL,NULL,NULL,1610612765,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",281
2594,"Kyle","Korver","G-F",6,7,212,1610612762,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",262
201585,"Kosta","Koufos","C",7,0,245,1610612758,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",263
203463,"Ben","McLemore","G",NULL,NULL,NULL,1610612758,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",309
203506,"Victor","Oladipo","G",6,4,210,1610612754,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",357
203482,"Kelly","Olynyk","F",7,0,240,1610612748,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",358
203263,"James","Nunnally","F",NULL,NULL,NULL,1610612750,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",348
1626166,"Cameron","Payne","G",NULL,NULL,NULL,1610612741,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",368
1629009,"Billy","Preston","F",NULL,NULL,NULL,1610612739,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",382
1627753,"Zhou","Qi","F-C",NULL,NULL,NULL,1610612745,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",384
2216,"Zach","Randolph","F",NULL,NULL,NULL,1610612758,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",388
1627781,"Malachi","Richardson","G",NULL,NULL,NULL,1610612761,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",392
203474,"DJ","Stephens","G-F",NULL,NULL,NULL,1610612763,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",430
1628462,"Milos","Teodosic","G",NULL,NULL,NULL,1610612746,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",437
1629107,"Gary","Trent Jr.","G",NULL,NULL,NULL,1610612757,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",448
1627755,"Tyler","Ulis","G",NULL,NULL,NULL,1610612741,"2018-11-16 06:14:52.801623-08","2018-11-16 06:14:52.801623-08",454
78197,"Michael","Smith","",NULL,NULL,NULL,1610612738,"2019-01-12 10:52:07.722447-08","2019-01-12 10:52:07.722447-08",494
1972,"John","Morton","",NULL,NULL,NULL,1610612739,"2019-01-12 10:52:07.729457-08","2019-01-12 10:52:07.729457-08",495
78621,"Howard","Wright","",NULL,NULL,NULL,1610612737,"2019-01-12 10:52:08.430138-08","2019-01-12 10:52:08.430138-08",496
76050,"Michael","Ansley","",NULL,NULL,NULL,1610612753,"2019-01-12 10:52:08.437454-08","2019-01-12 10:52:08.437454-08",497
927,"John","Salley","",NULL,NULL,NULL,1610612765,"2019-01-12 10:52:09.382173-08","2019-01-12 10:52:09.382173-08",498
7,"Dan","Schayes","",NULL,NULL,NULL,1610612749,"2019-01-12 10:52:09.387273-08","2019-01-12 10:52:09.387273-08",499
76631,"Mark","Eaton","",NULL,NULL,NULL,1610612762,"2019-01-12 10:52:09.489651-08","2019-01-12 10:52:09.489651-08",500
134,"Kevin","Johnson","",NULL,NULL,NULL,1610612756,"2019-01-12 10:52:09.495175-08","2019-01-12 10:52:09.495175-08",501
76017,"Danny","Ainge","",NULL,NULL,NULL,1610612757,"2019-01-12 10:52:09.63029-08","2019-01-12 10:52:09.63029-08",502
