Date,Visitor/Neutral,Home/Neutral
Tue Oct 16 2018,Philadelphia 76ers,Boston Celtics
Tue Oct 16 2018,Oklahoma City Thunder,Golden State Warriors
Wed Oct 17 2018,Milwaukee Bucks,Charlotte Hornets
Wed Oct 17 2018,Brooklyn Nets,Detroit Pistons
Wed Oct 17 2018,New Orleans Pelicans,Houston Rockets
Wed Oct 17 2018,Memphis Grizzlies,Indiana Pacers
Wed Oct 17 2018,Denver Nuggets,Los Angeles Clippers
Wed Oct 17 2018,Atlanta Hawks,New York Knicks
Wed Oct 17 2018,Miami Heat,Orlando Magic
Wed Oct 17 2018,Dallas Mavericks,Phoenix Suns
Wed Oct 17 2018,Utah Jazz,Sacramento Kings
Wed Oct 17 2018,Minnesota Timberwolves,San Antonio Spurs
Wed Oct 17 2018,Cleveland Cavaliers,Toronto Raptors
Thu Oct 18 2018,Chicago Bulls,Philadelphia 76ers
Thu Oct 18 2018,Los Angeles Lakers,Portland Trail Blazers
Thu Oct 18 2018,Miami Heat,Washington Wizards
Fri Oct 19 2018,New York Knicks,Brooklyn Nets
Fri Oct 19 2018,Oklahoma City Thunder,Los Angeles Clippers
Fri Oct 19 2018,Atlanta Hawks,Memphis Grizzlies
Fri Oct 19 2018,Indiana Pacers,Milwaukee Bucks
Fri Oct 19 2018,Cleveland Cavaliers,Minnesota Timberwolves
Fri Oct 19 2018,Sacramento Kings,New Orleans Pelicans
Fri Oct 19 2018,Charlotte Hornets,Orlando Magic
Fri Oct 19 2018,Boston Celtics,Toronto Raptors
Fri Oct 19 2018,Golden State Warriors,Utah Jazz
Sat Oct 20 2018,Detroit Pistons,Chicago Bulls
Sat Oct 20 2018,Minnesota Timberwolves,Dallas Mavericks
Sat Oct 20 2018,Phoenix Suns,Denver Nuggets
Sat Oct 20 2018,Brooklyn Nets,Indiana Pacers
Sat Oct 20 2018,Houston Rockets,Los Angeles Lakers
Sat Oct 20 2018,Charlotte Hornets,Miami Heat
Sat Oct 20 2018,Boston Celtics,New York Knicks
Sat Oct 20 2018,Orlando Magic,Philadelphia 76ers
Sat Oct 20 2018,San Antonio Spurs,Portland Trail Blazers
Sat Oct 20 2018,Toronto Raptors,Washington Wizards
Sun Oct 21 2018,Atlanta Hawks,Cleveland Cavaliers
Sun Oct 21 2018,Golden State Warriors,Denver Nuggets
Sun Oct 21 2018,Houston Rockets,Los Angeles Clippers
Sun Oct 21 2018,Sacramento Kings,Oklahoma City Thunder
Mon Oct 22 2018,Orlando Magic,Boston Celtics
Mon Oct 22 2018,Chicago Bulls,Dallas Mavericks
Mon Oct 22 2018,Phoenix Suns,Golden State Warriors
Mon Oct 22 2018,San Antonio Spurs,Los Angeles Lakers
Mon Oct 22 2018,New York Knicks,Milwaukee Bucks
Mon Oct 22 2018,Indiana Pacers,Minnesota Timberwolves
Mon Oct 22 2018,Washington Wizards,Portland Trail Blazers
Mon Oct 22 2018,Charlotte Hornets,Toronto Raptors
Mon Oct 22 2018,Memphis Grizzlies,Utah Jazz
Tue Oct 23 2018,Sacramento Kings,Denver Nuggets
Tue Oct 23 2018,Philadelphia 76ers,Detroit Pistons
Tue Oct 23 2018,Los Angeles Clippers,New Orleans Pelicans
Wed Oct 24 2018,Dallas Mavericks,Atlanta Hawks
Wed Oct 24 2018,Charlotte Hornets,Chicago Bulls
Wed Oct 24 2018,Brooklyn Nets,Cleveland Cavaliers
Wed Oct 24 2018,Washington Wizards,Golden State Warriors
Wed Oct 24 2018,Utah Jazz,Houston Rockets
Wed Oct 24 2018,New York Knicks,Miami Heat
Wed Oct 24 2018,Philadelphia 76ers,Milwaukee Bucks
Wed Oct 24 2018,Los Angeles Lakers,Phoenix Suns
Wed Oct 24 2018,Memphis Grizzlies,Sacramento Kings
Wed Oct 24 2018,Indiana Pacers,San Antonio Spurs
Wed Oct 24 2018,Minnesota Timberwolves,Toronto Raptors
Thu Oct 25 2018,Cleveland Cavaliers,Detroit Pistons
Thu Oct 25 2018,Denver Nuggets,Los Angeles Lakers
Thu Oct 25 2018,Boston Celtics,Oklahoma City Thunder
Thu Oct 25 2018,Portland Trail Blazers,Orlando Magic
Fri Oct 26 2018,Chicago Bulls,Charlotte Hornets
Fri Oct 26 2018,Los Angeles Clippers,Houston Rockets
Fri Oct 26 2018,Milwaukee Bucks,Minnesota Timberwolves
Fri Oct 26 2018,Brooklyn Nets,New Orleans Pelicans
Fri Oct 26 2018,Golden State Warriors,New York Knicks
Fri Oct 26 2018,Washington Wizards,Sacramento Kings
Fri Oct 26 2018,Dallas Mavericks,Toronto Raptors
Sat Oct 27 2018,Chicago Bulls,Atlanta Hawks
Sat Oct 27 2018,Indiana Pacers,Cleveland Cavaliers
Sat Oct 27 2018,Boston Celtics,Detroit Pistons
Sat Oct 27 2018,Phoenix Suns,Memphis Grizzlies
Sat Oct 27 2018,Portland Trail Blazers,Miami Heat
Sat Oct 27 2018,Orlando Magic,Milwaukee Bucks
Sat Oct 27 2018,Utah Jazz,New Orleans Pelicans
Sat Oct 27 2018,Charlotte Hornets,Philadelphia 76ers
Sat Oct 27 2018,Los Angeles Lakers,San Antonio Spurs
Sun Oct 28 2018,Golden State Warriors,Brooklyn Nets
Sun Oct 28 2018,Utah Jazz,Dallas Mavericks
Sun Oct 28 2018,Washington Wizards,Los Angeles Clippers
Sun Oct 28 2018,Phoenix Suns,Oklahoma City Thunder
Mon Oct 29 2018,Golden State Warriors,Chicago Bulls
Mon Oct 29 2018,New Orleans Pelicans,Denver Nuggets
Mon Oct 29 2018,Portland Trail Blazers,Indiana Pacers
Mon Oct 29 2018,Sacramento Kings,Miami Heat
Mon Oct 29 2018,Toronto Raptors,Milwaukee Bucks
Mon Oct 29 2018,Los Angeles Lakers,Minnesota Timberwolves
Mon Oct 29 2018,Brooklyn Nets,New York Knicks
Mon Oct 29 2018,Atlanta Hawks,Philadelphia 76ers
Mon Oct 29 2018,Dallas Mavericks,San Antonio Spurs
Tue Oct 30 2018,Detroit Pistons,Boston Celtics
Tue Oct 30 2018,Miami Heat,Charlotte Hornets
Tue Oct 30 2018,Atlanta Hawks,Cleveland Cavaliers
Tue Oct 30 2018,Portland Trail Blazers,Houston Rockets
Tue Oct 30 2018,Washington Wizards,Memphis Grizzlies
Tue Oct 30 2018,Los Angeles Clippers,Oklahoma City Thunder
Tue Oct 30 2018,Sacramento Kings,Orlando Magic
Tue Oct 30 2018,Philadelphia 76ers,Toronto Raptors
Wed Oct 31 2018,Detroit Pistons,Brooklyn Nets
Wed Oct 31 2018,Denver Nuggets,Chicago Bulls
Wed Oct 31 2018,New Orleans Pelicans,Golden State Warriors
Wed Oct 31 2018,Dallas Mavericks,Los Angeles Lakers
Wed Oct 31 2018,Utah Jazz,Minnesota Timberwolves
Wed Oct 31 2018,Indiana Pacers,New York Knicks
Wed Oct 31 2018,San Antonio Spurs,Phoenix Suns
Thu Nov 1 2018,Sacramento Kings,Atlanta Hawks
Thu Nov 1 2018,Milwaukee Bucks,Boston Celtics
Thu Nov 1 2018,Oklahoma City Thunder,Charlotte Hornets
Thu Nov 1 2018,Denver Nuggets,Cleveland Cavaliers
